Month,Unemployment_Rate,Country
2013-05-01,4.1,일본
2013-06-01,3.9,일본
2013-07-01,3.8,일본
2013-08-01,4.1,일본
2013-09-01,3.9,일본
2013-10-01,4,일본
2013-11-01,3.9,일본
2013-12-01,3.7,일본
2014-01-01,3.7,일본
2014-02-01,3.6,일본
2014-03-01,3.7,일본
2014-04-01,3.6,일본
2014-05-01,3.6,일본
2014-06-01,3.7,일본
2014-07-01,3.7,일본
2014-08-01,3.5,일본
2014-09-01,3.5,일본
2014-10-01,3.6,일본
2014-11-01,3.4,일본
2014-12-01,3.4,일본
2015-01-01,3.5,일본
2015-02-01,3.5,일본
2015-03-01,3.4,일본
2015-04-01,3.4,일본
2015-05-01,3.3,일본
2015-06-01,3.4,일본
2015-07-01,3.4,일본
2015-08-01,3.4,일본
2015-09-01,3.4,일본
2015-10-01,3.2,일본
2015-11-01,3.3,일본
2015-12-01,3.3,일본
2016-01-01,3.2,일본
2016-02-01,3.3,일본
2016-03-01,3.2,일본
2016-04-01,3.2,일본
2016-05-01,3.1,일본
2016-06-01,3.1,일본
2016-07-01,3,일본
2016-08-01,3.1,일본
2016-09-01,3,일본
2016-10-01,3,일본
2016-11-01,3.1,일본
2016-12-01,3.1,일본
2017-01-01,3,일본
2017-02-01,2.9,일본
2017-03-01,2.8,일본
2017-04-01,2.8,일본
2017-05-01,3,일본
2017-06-01,2.8,일본
2017-07-01,2.8,일본
2017-08-01,2.8,일본
2017-09-01,2.8,일본
2017-10-01,2.8,일본
2017-11-01,2.7,일본
2017-12-01,2.7,일본
2018-01-01,2.4,일본
2018-02-01,2.5,일본
2018-03-01,2.5,일본
2018-04-01,2.5,일본
2018-05-01,2.2,일본
2018-06-01,2.4,일본
